id,name,x,y,z
548,mL3-L4-3,1963,1875,-275.0
549,mL3-L4-30,2385,1858,-275.0
550,mL3-L4-31,1833,1852,-275.0
551,mL3-L4-32,1949,1822,-275.0
552,mL3-L4-33,2312,1837,-275.0
553,mL3-L4-34,2525,924,-275.0
554,mL3-L4-35,2620,872,-275.0
555,mL3-L4-36,1694,927,-275.0
556,mL3-L4-37,1576,900,-275.0
557,mL3-L4-38,1482,1893,-275.0
558,mL3-L4-39,2736,1936,-275.0
559,mL3-L4-4,2251,1889,-275.0
560,mL3-L4-40,1539,1959,-275.0
561,mL3-L4-41,2014,2217,-275.0
562,mL3-L4-42,2148,2206,-275.0
563,mL3-L4-5,2270,1781,-275.0
564,mL3-L4-6,1956,1757,-275.0
565,mL3-L4-7,1994,1547,-275.0
566,mL3-L4-8,2256,1561,-275.0
567,mL3-L4-9,2470,1824,-275.0
568,mL3_H-1,2101,728,-255.0
569,mL3_H-10,1618,2002,-255.0
570,mL3_H-11,2576,2056,-255.0
571,mL3_H-12,2614,2139,-255.0
572,mL3_H-13,1562,2127,-255.0
573,mL3_H-14,1708,1828,-255.0
574,mL3_H-15,2502,1825,-255.0
575,mL3_H-16,1993,1617,-255.0
576,mL3_H-17,2243,1623,-255.0
577,mL3_H-18,1787,1901,-255.0
578,mL3_H-19,2449,1956,-255.0
579,mL3_H-2,2081,2165,-255.0
580,mL3_H-20,1613,929,-255.0
581,mL3_H-21,1554,946,-255.0
582,mL3_H-22,1434,1065,-255.0
583,mL3_H-23,1403,1042,-255.0
584,mL3_H-24,1336,1775,-255.0
585,mL3_H-25,1223,1583,-255.0
586,mL3_H-26,2260,1847,-255.0
587,mL3_H-27,1971,1833,-255.0
588,mL3_H-28,2138,2213,-255.0
589,mL3_H-29,2021,2223,-255.0
590,mL3_H-3,1960,2020,-255.0
591,mL3_H-30,2631,945,-255.0
592,mL3_H-31,2670,943,-255.0
593,mL3_H-32,2810,1025,-255.0
594,mL3_H-33,2782,1061,-255.0
595,mL3_H-34,2850,1824,-255.0
596,mL3_H-35,2743,2025,-255.0
597,mL3_H-36,2778,2045,-255.0
598,mL3_H-37,2716,2040,-255.0
599,mL3_H-38,2647,2051,-255.0
600,mL3_H-39,1509,931,-255.0
601,mL3_H-4,2253,2033,-255.0
602,mL3_H-40,2701,916,-255.0
603,mL3_H-41,2906,2021,-255.0
604,mL3_H-42,1371,1935,-255.0
605,mL3_H-43,1513,2016,-255.0
606,mL3_H-5,2071,1909,-255.0
607,mL3_H-6,2137,1919,-255.0
608,mL3_H-7,2084,2097,-255.0
609,mL3_H-8,1314,1962,-255.0
610,mL3_H-9,1387,1967,-255.0
611,mL3_L-1,2094,744,-268.0
612,mL3_L-10,2026,2212,-268.0
613,mL3_L-11,1544,1983,-268.0
614,mL3_L-12,2642,2029,-268.0
615,mL3_L-13,2556,2020,-268.0
616,mL3_L-14,1641,1977,-268.0
